#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#* Grid
param N := 50.;
param K := 4.;

param ODE_AK := [*,:]
    :1     2    3   4 :=
1   0.    0.    0.   0.
2   0.5   0.    0.   0.
3   0.    0.5   0.   0.
4   0.    0.    1.   0.;
param ODE_bK := [*]
1   0.1666666666666667
2   0.3333333333333333
3   0.3333333333333333
4   0.1666666666666667;
param ODE_cK := [*]
1    0.
2   0.5
3   0.5
4    1.;
#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#* Grid!

#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#* Decision Variables
param nq := 18.;
param nf := 12.;
#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#* Decision Variables!

#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#* Robot and Robot Constraints
param robot := [*,:]
    :PARENT   S_RX   S_RY   S_RZ   S_PX   S_PY   S_PZ        Q_LB       Q_UB   F_RX   F_RY   F_RZ                  F_PX                  F_PY                 F_PZ                 F_TH                 MASS   M_RX   M_RY   M_RZ                   M_PX                    M_PY                     M_PZ                  M_TH                    IXX                   IYY                      IZZ                          IXY                      IXZ                     IYZ :=
1    0.        0.     0.     0.     1.     0.     0.     -Infinity   Infinity   0.     0.     0.     0.                    0.                    0.                   0.                   0.                   0.     0.     0.     0.                     0.                      0.                       0.                    0.                     0.                    0.                       0.                           0.                       0.
2    1.        0.     0.     0.     0.     1.     0.     -Infinity   Infinity   0.     0.     0.     0.                    0.                    0.                   0.                   0.                   0.     0.     0.     0.                     0.                      0.                       0.                    0.                     0.                    0.                       0.                           0.                       0.
3    2.        0.     0.     0.     0.     0.     1.     -Infinity   Infinity   0.     0.     0.     0.                    0.                    0.                   0.                   0.                   0.     0.     0.     0.                     0.                      0.                       0.                    0.                     0.                    0.                       0.                           0.                       0.
4    3.        1.     0.     0.     0.     0.     0.     -Infinity   Infinity   0.     0.     0.     0.                    0.                    0.                   0.                   0.                   0.     0.     0.     0.                     0.                      0.                       0.                    0.                     0.                    0.                       0.                           0.                       0.
5    4.        0.     1.     0.     0.     0.     0.     -Infinity   Infinity   0.     0.     0.     0.                    0.                    0.                   0.                   0.                   0.     0.     0.     0.                     0.                      0.                       0.                    0.                     0.                    0.                       0.                           0.                       0.
6    5.        0.     0.     1.     0.     0.     0.     -Infinity   Infinity   0.     0.     0.     0.                    0.                    0.                   0.                   11.041               0.     0.     0.     0.89930927928339       0.4297349125459318      -0.0810600094616925      0.00941277955760146   0.050874               0.6403600000000001    0.6565499999999997       -0.000451628                 0.000487603              0.00004835599999999999
7    6.        1.     0.     0.     0.     0.     0.     -Infinity   Infinity   0.     0.     0.     0.983374925048175     0.1815867748116489    0.                   0.3028854940402396   1.993                0.     0.     0.     -0.825988532025717     0.563686644540465       -0.0005583267081422989   0.02686599043400411   0.002903894            0.004907517           0.005586944000000001     -0.00007184999999999999      -0.000001262             -0.00000175
8    6.        1.     0.     0.     0.     0.     0.     -Infinity   Infinity   0.     0.     0.     -0.983374925048175    0.1815867748116489    0.                   0.3028854940402396   1.993                0.     0.     0.     0.825988532025717      0.563686644540465       -0.0005583267081422989   0.02686599043400411   0.002903894            0.004907517           0.005586944000000001     0.00007184999999999999       0.000001262              -0.00000175
9    6.        1.     0.     0.     0.     0.     0.     -Infinity   Infinity   0.     0.     0.     0.983374925048175     -0.1815867748116489   0.                   0.3028854940402396   1.993                0.     0.     0.     -0.825988532025717     -0.563686644540465      -0.0005583267081422989   0.02686599043400411   0.002903894            0.004907517           0.005586944000000001     0.00007184999999999999       -0.000001262             0.00000175
10   6.        1.     0.     0.     0.     0.     0.     -Infinity   Infinity   0.     0.     0.     -0.983374925048175    -0.1815867748116489   0.                   0.3028854940402396   1.993                0.     0.     0.     0.825988532025717      -0.563686644540465      -0.0005583267081422989   0.02686599043400411   0.002903894            0.004907517           0.005586944000000001     -0.00007184999999999999      0.000001262              0.00000175
11   7.        0.     1.     0.     0.     0.     0.     -Infinity   Infinity   0.     0.     0.     0.                    1.                    0.                   0.110945             0.6390000000000001   0.     0.     0.     -0.1151839128977312    -0.07964473520679577    -0.990146141922195       0.0486786727325222    0.005666802999999999   0.005847229           0.000369811              0.000003597                  0.0004914459999999999    0.000010086
12   8.        0.     1.     0.     0.     0.     0.     -Infinity   Infinity   0.     0.     0.     0.                    1.                    0.                   0.110945             0.6390000000000001   0.     0.     0.     -0.1151839128977312    -0.07964473520679577    -0.990146141922195       0.0486786727325222    0.005666802999999999   0.005847229           0.000369811              0.000003597                  0.0004914459999999999    0.000010086
13   9.        0.     1.     0.     0.     0.     0.     -Infinity   Infinity   0.     0.     0.     0.                    -1.                   0.                   0.110945             0.6390000000000001   0.     0.     0.     -0.1151839128977312    0.07964473520679577     -0.990146141922195       0.0486786727325222    0.005666802999999999   0.005847229           0.000369811              -0.000003597                 0.0004914459999999999    -0.000010086
14   10.       0.     1.     0.     0.     0.     0.     -Infinity   Infinity   0.     0.     0.     0.                    -1.                   0.                   0.110945             0.6390000000000001   0.     0.     0.     -0.1151839128977312    0.07964473520679577     -0.990146141922195       0.0486786727325222    0.005666802999999999   0.005847229           0.000369811              -0.000003597                 0.0004914459999999999    -0.000010086
15   11.       0.     1.     0.     0.     0.     0.     -Infinity   Infinity   0.     0.     0.     0.07776689309465487   0.                    -0.996971569473475   0.3214735603436152   0.267                0.     0.     0.     0.005471539424431925   0.000258842536952253    -0.999984997515897       0.1886965612542392    0.00832704343879798    0.00834364756876292   0.00006360449921573031   -0.00000002580270134831461   -0.0001623247250548315   -0.000001938177699325843
16   12.       0.     1.     0.     0.     0.     0.     -Infinity   Infinity   0.     0.     0.     0.07776689309465487   0.                    -0.996971569473475   0.3214735603436152   0.267                0.     0.     0.     0.005471539424431925   0.000258842536952253    -0.999984997515897       0.1886965612542392    0.00832704343879798    0.00834364756876292   0.00006360449921573031   -0.00000002580270134831461   -0.0001623247250548315   -0.000001938177699325843
17   13.       0.     1.     0.     0.     0.     0.     -Infinity   Infinity   0.     0.     0.     0.07776689309465487   0.                    -0.996971569473475   0.3214735603436152   0.267                0.     0.     0.     0.005471539424431925   -0.000258842536952253   -0.999984997515897       0.1886965612542392    0.00832704343879798    0.00834364756876292   0.00006360449921573031   0.00000002580270134831461    -0.0001623247250548315   0.000001938177699325843
18   14.       0.     1.     0.     0.     0.     0.     -Infinity   Infinity   0.     0.     0.     0.07776689309465487   0.                    -0.996971569473475   0.3214735603436152   0.267                0.     0.     0.     0.005471539424431925   -0.000258842536952253   -0.999984997515897       0.1886965612542392    0.00832704343879798    0.00834364756876292   0.00006360449921573031   0.00000002580270134831461    -0.0001623247250548315   0.000001938177699325843;

param constraint := [*,:]
    :PHASE   TYPE   ROW   BODY   R_RX   R_RY   R_RZ   R_PX   R_PY   R_PZ   F_RX   F_RY   F_RZ                   F_PX   F_PY                F_PZ                 F_TH   F_O :=
1    1.       p      1.    15.    0.     0.     0.     1.     0.     0.     0.     0.     0.     -0.01436633331764756   0.     -0.99989679890827   0.3480359176866664   0.
