run,status,variables,equality_constraints,inequality_constraints,iterations,objective_unscaled,constraint_violation_unscaled,ipopt_cpu_secs,nlp_cpu_secs,python_wall,ampl_wall,solve_wall,nvars,snvars,ncons,sncons,total_wall,run_date,run_start_time
cart_pole_swing_col3_run,Optimal Solution Found.,1197,1150,50,409,1.9213975853618256e+03,2.1722890153341723e-10,3.381,0.803,,0.06051599999999979,4.246278,19139,1197,19447,1200,4.30679,20260421,145237
cart_pole_swing_col3_run,Optimal Solution Found.,1197,1150,50,409,1.9213975853618256e+03,2.1722890153341723e-10,3.365,0.770,,0.05752099999999949,4.2531110000000005,19139,1197,19447,1200,4.31063,20260421,152548
cart_pole_swing_col3_run,Optimal Solution Found.,1197,1150,50,409,1.9213975853618256e+03,2.1722890153341723e-10,3.318,0.743,,0.05333100000000002,4.106555,19139,1197,19447,1200,4.15989,20260421,155914
cart_pole_swing_col3_run,Optimal Solution Found.,1197,1150,50,409,1.9213975853618256e+03,2.1722890153341723e-10,3.374,0.753,,0.06458300000000072,4.183024,19139,1197,19447,1200,4.24761,20260421,163238
cart_pole_swing_col3_run,Optimal Solution Found.,1197,1150,50,409,1.9213975853618256e+03,2.1722890153341723e-10,3.368,0.740,,0.06367300000000053,4.1685,19139,1197,19447,1200,4.23217,20260421,170600
cart_pole_swing_col3_run,Optimal Solution Found.,1197,1150,50,409,1.9213975853618256e+03,2.1722890153341723e-10,3.356,0.741,,0.06313700000000022,4.146439,19139,1197,19447,1200,4.20958,20260421,173918
cart_pole_swing_col3_run,Optimal Solution Found.,1197,1150,50,409,1.9213975853618256e+03,2.1722890153341723e-10,3.358,0.745,,0.06089699999999976,4.14889,19139,1197,19447,1200,4.20979,20260421,181233
cart_pole_swing_col3_run,Optimal Solution Found.,1197,1150,50,409,1.9213975853618256e+03,2.1722890153341723e-10,3.370,0.756,,0.060365,4.177816,19139,1197,19447,1200,4.23818,20260421,184549
cart_pole_swing_col3_run,Optimal Solution Found.,1197,1150,50,409,1.9213975853618256e+03,2.1722890153341723e-10,3.385,0.750,,0.05767200000000017,4.192156,19139,1197,19447,1200,4.24983,20260421,191900
cart_pole_swing_col3_run,Optimal Solution Found.,1197,1150,50,409,1.9213975853618256e+03,2.1722890153341723e-10,3.397,0.759,,0.0616759999999994,4.203105000000001,19139,1197,19447,1200,4.26478,20260421,195237
